Item Fat Content,Item Identifier,Type,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,FDO58,Food,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.96,19.6,166.0526,4.3
Low Fat,DRD37,Drink,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,1.39,9.8,45.106,4.3
Low Fat,DRL49,Drink,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.65,13.15,143.4812,4.3
Low Fat,DRM48,Drink,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,11.31,15.2,35.8848,4.3
Regular,FDU24,Food,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,6.78,95.012,4.3
Regular,FDV48,Food,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.17,9.195,79.2644,4.3
Regular,FDI12,Food,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,10.06,9.395,88.8856,4.3
Regular,FDI48,Food,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.58,11.85,53.0666,4.3
Regular,FDK25,Food,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,15.71,11.6,166.6474,4.3
Regular,FDK26,Food,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.22,5.46,186.824,4.3
Regular,FDZ49,Food,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,13.34,11,219.7798,4.3
Regular,FDE14,Food,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.15,13.65,98.87,4.3
Regular,FDT50,Food,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,6.75,96.7752,4.3
Regular,FDZ26,Food,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,14.42,11.6,239.4222,4.3
Regular,FDP40,Food,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.44,4.555,111.3544,4.3
Regular,FDD41,Food,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,8.74,6.765,105.3306,4.3
Regular,FDV16,Food,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,8.31,7.75,35.7558,4.3
Regular,FDG41,Food,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,7.67,8.84,110.7228,4.3
Regular,FDM04,Food,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,4.72,9.195,52.8666,4.3
Regular,FDR31,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,4.92,6.46,144.4102,4.3
Regular,FDD44,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,7.85,8.05,257.1646,4.3
Regular,FDV44,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.99,8.365,191.3188,4.3
Regular,FDM08,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.37,10.1,223.0088,4.3
Regular,FDW19,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.86,12.35,109.857,4.3
Regular,FDF57,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.89,14.5,169.7448,4.3
Regular,FDQ07,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,8.75,15.1,219.8456,4.3
Regular,FDZ31,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,15.35,193.0504,4.3
Regular,FDZ51,Food,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.46,11.3,93.3094,4.3
Regular,FDM27,Food,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,15.87,12.35,157.2946,4.3
Regular,FDQ03,Food,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,15,235.6248,4.3
Regular,DRY23,Drink,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,10.93,9.395,42.3112,4.3
Low Fat,FDD57,Food,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,2.24,18.1,96.2094,4.3
Low Fat,FDD14,Food,Canned,2018,OUT019,Tier 1,Small,Grocery Store,29.73,12.31,185.4266,4.3
Low Fat,FDO36,Food,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,13.64,12.28,179.766,4.3
Low Fat,FDU36,Food,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,8.1,12.28,98.8384,4.3
Low Fat,FDZ60,Food,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,20.9,12.28,106.0596,4.3
Low Fat,FDS23,Food,Breads,2018,OUT019,Tier 1,Small,Grocery Store,24.67,11.35,129.7994,4.3
Low Fat,DRI03,Drink,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,3.98,13.43,176.9028,4.3
Low Fat,FDP26,Food,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,24.43,13.43,105.9306,4.3
Low Fat,FDC28,Food,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0,12.87,109.9254,4.3
Low Fat,FDG16,Food,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,15.73,12.87,215.0192,4.3
Low Fat,FDB33,Food,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,2.55,13.22,157.5262,4.3
Low Fat,FDI20,Food,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,6.75,13.22,211.3586,4.3
Low Fat,FDR07,Food,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,13.61,13.22,94.1094,4.3
Low Fat,NCK17,Non-Consumable,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0,13.14,40.348,4.3
Low Fat,NCL05,Non-Consumable,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,8.39,13.14,44.077,4.3
Low Fat,NCQ29,Non-Consumable,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,18.25,13.14,258.8278,4.3
Low Fat,NCX29,Non-Consumable,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,15.61,13.14,144.3102,4.3
Low Fat,NCB30,Non-Consumable,Household,2018,OUT019,Tier 1,Small,Grocery Store,4.5,13.38,196.5084,4.3
Low Fat,NCE54,Non-Consumable,Household,2018,OUT019,Tier 1,Small,Grocery Store,4.71,13.38,75.5354,4.3
Low Fat,NCU06,Non-Consumable,Household,2018,OUT019,Tier 1,Small,Grocery Store,13.03,13.38,228.001,4.3
Low Fat,FDL15,Food,Meat,2018,OUT019,Tier 1,Small,Grocery Store,8.17,12.82,152.5682,4.3
Low Fat,NCM07,Non-Consumable,Others,2018,OUT019,Tier 1,Small,Grocery Store,7,13.85,83.9908,4.3
Low Fat,NCP43,Non-Consumable,Others,2018,OUT019,Tier 1,Small,Grocery Store,5.34,13.85,181.766,4.3
Low Fat,FDP34,Food,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,24.03,12.99,156.463,4.3
Low Fat,DRF01,Drink,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,30.65,11.85,147.3102,4.3
Low Fat,DRL60,Drink,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,4.74,11.85,150.6682,4.3
Regular,FDU24,Food,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,24.54,12.28,92.812,4.3
Regular,FDN25,Food,Breakfast,2018,OUT019,Tier 1,Small,Grocery Store,10.71,12.77,55.5588,4.3
Regular,FDW38,Food,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0,13.43,55.9298,4.3
Regular,FDX04,Food,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,7.28,12.87,49.4376,4.3
Regular,FDA08,Food,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,8.77,13.22,162.5526,4.3
Regular,FDE33,Food,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,8.69,13.22,78.8644,4.3
Regular,FDG08,Food,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,28.95,13.22,172.0764,4.3
Regular,FDQ32,Food,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,8.16,13.22,122.3388,4.3
Regular,FDX56,Food,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,12.97,13.22,206.8638,4.3
Regular,FDX03,Food,Meat,2018,OUT019,Tier 1,Small,Grocery Store,10.7,12.82,44.7744,4.3
Regular,FDK58,Food,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,7.88,12.99,103.0016,4.3
Regular,FDL09,Food,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,22.42,12.99,168.8816,4.3
Regular,FDM22,Food,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,7.35,12.99,52.364,4.3
Regular,FDV10,Food,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,11.68,12.99,41.0112,4.3
Low Fat,NCJ54,Non-Consumable,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,6.01,9.895,230.6642,4.3
Low Fat,NCY30,Non-Consumable,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,2.6,20.25,179.5976,4.3
Low Fat,FDW24,Food,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,3.75,6.8,49.9034,4.3
Low Fat,FDT36,Food,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,11.13,12.3,35.0874,4.3
Low Fat,FDS60,Food,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,3.24,20.85,177.866,4.3
Low Fat,FDU23,Food,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0,12.15,164.7184,4.3
Low Fat,FDW47,Food,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,4.64,15,122.8414,4.3
Low Fat,FDV49,Food,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,2.58,10,263.2226,4.3
Low Fat,DRI03,Drink,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,2.27,6.03,177.9028,4.3
Low Fat,FDU38,Food,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,8.25,10.8,193.7504,4.3
Low Fat,FDR02,Food,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,2.21,16.7,110.5886,4.3
Low Fat,FDU14,Food,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,3.48,17.75,248.775,4.3
Low Fat,FDK28,Food,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,6.56,5.695,258.2646,4.3
Low Fat,FDR04,Food,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,2.26,7.075,97.3068,4.3
Low Fat,FDL08,Food,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,4.97,10.8,246.7144,4.3
Low Fat,FDG57,Food,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,7.23,14.7,48.2034,4.3
Low Fat,FDF32,Food,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0,16.35,198.5426,4.3
Low Fat,FDL20,Food,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0,17.1,111.9886,4.3
Low Fat,DRK35,Drink,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,7.18,8.365,37.9506,4.3
Low Fat,DRP35,Drink,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,9.09,18.85,127.3336,4.3
Low Fat,NCN05,Non-Consumable,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,1.45,8.235,181.895,4.3
Low Fat,NCK53,Non-Consumable,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,3.76,11.6,98.9042,4.3
Low Fat,NCO41,Non-Consumable,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,1.88,12.5,96.7384,4.3
Low Fat,NCR41,Non-Consumable,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,1.8,17.85,95.9094,4.3
Low Fat,NCT42,Non-Consumable,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,2.49,5.88,147.5392,4.3
Low Fat,NCV54,Non-Consumable,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0,11.1,119.1124,4.3
Low Fat,NCR06,Non-Consumable,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.68,12.5,41.7112,4.3
Low Fat,NCC07,Non-Consumable,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,2.4,19.6,105.6964,4.3
Low Fat,NCV30,Non-Consumable,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,6.59,20.2,64.851,4.3
Low Fat,NCN42,Non-Consumable,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,1.42,20.25,148.9418,4.3
Low Fat,NCK19,Non-Consumable,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,9.05,9.8,193.6478,4.3
Low Fat,NCL55,Non-Consumable,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,0,12.15,254.904,4.3
Low Fat,FDV09,Food,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,2.06,12.1,150.4734,4.3
Low Fat,FDH33,Food,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,12.17,12.85,45.1428,4.3
Low Fat,FDK09,Food,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,9.18,15.2,228.5352,4.3
Low Fat,FDT45,Food,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,5.73,15.85,53.3956,4.3
Low Fat,FDM34,Food,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,6.74,19,132.9626,4.3
Low Fat,DRD12,Drink,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,7.72,6.96,89.9146,4.3
Low Fat,DRE01,Drink,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,16.72,10.1,241.7512,4.3
Low Fat,DRF36,Drink,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,2.36,16.1,192.6846,4.3
Low Fat,FDG47,Food,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,6.96,12.8,260.3252,4.3
Regular,FDP48,Food,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,4.4,7.52,183.095,4.3
Regular,FDW12,Food,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,3.56,8.315,144.4444,4.3
Regular,FDM36,Food,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,5.87,11.65,171.9422,4.3
Regular,FDU12,Food,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,7.58,15.5,262.8568,4.3
Regular,FDS11,Food,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,5.56,7.05,224.7088,4.3
Regular,FDQ59,Food,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,5.64,9.8,84.6908,4.3
Regular,FDR59,Food,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,6.39,14.5,262.3594,4.3
Regular,FDP59,Food,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,5.65,20.85,103.6648,4.3
Regular,FDN38,Food,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,9.2,6.615,251.6408,4.3
Regular,FDT01,Food,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,18.42,13.65,213.7902,4.3
Regular,FDY37,Food,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,2.66,17,142.047,4.3
Regular,FDZ03,Food,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,7.88,13.65,184.824,4.3
Regular,FDQ28,Food,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,6.04,14,153.5656,4.3
Regular,FDU28,Food,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,9.39,19.2,189.8214,4.3
Regular,FDR32,Food,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0,6.78,227.4694,4.3
Regular,FDU19,Food,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,4.68,8.77,173.9422,4.3
Regular,FDJ44,Food,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,10.63,12.3,172.8396,4.3
Regular,FDF57,Food,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,5.88,14.5,172.2448,4.3
Regular,FDD56,Food,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,10.38,15.2,175.6054,4.3
Regular,FDC08,Food,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,10.34,19,225.472,4.3
Regular,FDJ55,Food,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,2.35,12.8,223.5404,4.3
Regular,FDR57,Food,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,2.35,5.675,156.1288,4.3
Regular,FDU45,Food,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,3.55,15.6,112.4518,4.3
Regular,DRA59,Drink,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,12.79,8.27,184.8924,4.3
Regular,FDB35,Food,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,6.46,12.3,89.8804,4.3
Regular,FDK26,Food,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,3.22,5.46,185.424,4.3
Low Fat,NCB18,Non-Consumable,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,4.14,19.6,89.2514,4.3
Low Fat,DRK12,Drink,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,4.21,9.5,32.09,4.3
Low Fat,FDA48,Food,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,11.51,12.1,222.0114,4.3
Low Fat,FDE24,Food,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,9.37,14.85,141.5812,4.3
Low Fat,FDW48,Food,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.86,18,79.0618,4.3
Low Fat,FDJ50,Food,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,2.16,8.645,51.9982,4.3
Low Fat,FDO38,Food,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,7.3,17.25,78.8986,4.3
Low Fat,FDB28,Food,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,9.36,6.615,199.4426,4.3
Low Fat,DRG51,Drink,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,1.16,12.1,164.9526,4.3
Low Fat,DRE15,Drink,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,1.78,13.35,75.1012,4.3
Low Fat,FDR02,Food,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,2.21,16.7,110.8886,4.3
Low Fat,FDS52,Food,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.55,8.89,99.3016,4.3
Low Fat,FDZ40,Food,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,4.03,8.935,52.6298,4.3
Low Fat,FDM28,Food,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,4.53,15.7,181.366,4.3
Low Fat,FDU40,Food,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,3.75,20.85,192.7478,4.3
Low Fat,DRM59,Drink,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.36,5.88,152.2998,4.3
Low Fat,DRK35,Drink,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,7.2,8.365,38.3506,4.3
Low Fat,DRM47,Drink,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,4.39,9.3,191.0846,4.3
Low Fat,DRJ59,Drink,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,1.94,11.65,40.3164,4.3
Low Fat,NCM29,Non-Consumable,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,1.77,11.5,129.2626,4.3
Low Fat,NCO41,Non-Consumable,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,1.89,12.5,98.8384,4.3
Low Fat,NCJ30,Non-Consumable,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,8.08,5.82,171.479,4.3
Low Fat,NCG54,Non-Consumable,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,8,12.1,170.8106,4.3
Low Fat,NCY06,Non-Consumable,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,6.13,15.25,128.8968,4.3
Low Fat,FDP27,Food,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,11.97,8.155,188.453,4.3
Low Fat,NCL31,Non-Consumable,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,12.05,7.39,142.247,4.3
Low Fat,NCO02,Non-Consumable,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,7.35,11.15,65.9142,4.3
Low Fat,NCL55,Non-Consumable,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,6.48,12.15,254.004,4.3
Low Fat,NCQ43,Non-Consumable,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,11.15,17.75,110.2912,4.3
Low Fat,FDX21,Food,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,8.51,7.05,108.6912,4.3
Low Fat,FDQ34,Food,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,16.26,10.85,107.4622,4.3
Low Fat,FDA46,Food,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,11.79,13.6,193.6136,4.3
Low Fat,FDL45,Food,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,3.78,15.6,124.9704,4.3
Low Fat,FDO34,Food,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,3,17.7,169.7816,4.3
Low Fat,FDP10,Food,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,12.83,19,106.5622,4.3
Low Fat,DRE48,Drink,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,1.74,8.43,196.2768,4.3
Low Fat,DRK12,Drink,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,4.2,9.5,33.39,4.3
Low Fat,FDK36,Food,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.73,7.09,50.4034,4.3
Low Fat,FDV36,Food,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,2.65,18.7,124.902,4.3
Low Fat,FDP38,Food,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,3.23,10.1,52.2008,4.3
Low Fat,FDX37,Food,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,6.34,16.2,98.17,4.3
Low Fat,DRG15,Drink,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,7.72,6.13,63.0536,4.3
Low Fat,FDD53,Food,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,4.45,16.2,43.3454,4.3
Low Fat,FDV40,Food,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0,17.35,72.2038,4.3
Low Fat,FDS55,Food,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,8.16,7.02,148.0734,4.3
Low Fat,FDV32,Food,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,8.92,7.785,64.251,4.3
Low Fat,FDG45,Food,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,12.88,8.1,213.7902,4.3
Low Fat,FDS20,Food,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,5.42,8.85,183.9292,4.3
Low Fat,FDE32,Food,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,4.9,20.7,39.9506,4.3
Low Fat,DRH23,Drink,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,17.13,14.65,54.0614,4.3
Low Fat,DRI23,Drink,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,13.8,18.85,158.4578,4.3
Low Fat,NCU17,Non-Consumable,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,9.34,5.32,101.2674,4.3
Low Fat,NCO05,Non-Consumable,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,4.68,7.27,99.3384,4.3
Low Fat,NCM17,Non-Consumable,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,7.15,7.93,44.5086,4.3
Low Fat,NCO53,Non-Consumable,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,17.62,16.2,184.0608,4.3
Low Fat,NCR41,Non-Consumable,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,1.81,17.85,94.9094,4.3
Low Fat,NCU42,Non-Consumable,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,1.96,9,169.6474,4.3
Low Fat,NCZ42,Non-Consumable,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,1.14,10.5,236.5248,4.3
Low Fat,NCV06,Non-Consumable,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,6.71,11.3,194.0478,4.3
Low Fat,NCM30,Non-Consumable,Household,2020,OUT017,Tier 2,High,Supermarket Type1,6.77,19.1,40.8796,4.3
Low Fat,FDK43,Food,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,2.7,9.8,127.302,4.3
Low Fat,FDT21,Food,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,2.05,7.42,249.7092,4.3
Low Fat,FDW34,Food,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,3.58,9.6,241.317,4.3
Low Fat,FDQ34,Food,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,16.32,10.85,107.4622,4.3
Low Fat,FDK34,Food,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,3.87,13.35,239.3564,4.3
Low Fat,FDL45,Food,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,3.79,15.6,124.1704,4.3
Low Fat,FDM33,Food,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,8.82,15.6,220.1798,4.3
Low Fat,DRD37,Drink,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,1.39,9.8,45.006,4.3
Low Fat,DRK13,Drink,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,11.58,11.8,198.3084,4.3
Low Fat,DRF13,Drink,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,2.99,12.1,146.3444,4.3
Low Fat,DRB25,Drink,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,6.99,12.3,107.4938,4.3
Low Fat,DRJ13,Drink,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,6.32,12.65,159.2578,4.3
Low Fat,DRG13,Drink,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,3.74,17.25,165.6526,4.3
Regular,FDY47,Food,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,5.46,8.6,130.531,4.3
Regular,FDW02,Food,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0,4.805,123.9704,4.3
Regular,FDY15,Food,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,17.12,18.25,156.463,4.3
Regular,FDD40,Food,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,1.48,20.25,190.7162,4.3
Regular,FDY04,Food,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,4.26,17.7,165.021,4.3
Regular,FDU16,Food,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0,19.25,82.5908,4.3
Regular,FDY08,Food,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,17.14,9.395,139.1838,4.3
